"filename", "language", "HTML", "JavaScript", "Markdown", "PostCSS", "XML", "JSON", "Lua", "comment", "blank", "total"
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\southAmericaLow.svg", "XML", 0, 0, 0, 0, 32, 0, 0, 3, 3, 38
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\library\world\zachary\worldLow.svg", "XML", 0, 0, 0, 0, 194, 0, 0, 3, 3, 200
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\add.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\arrow\down.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\arrow\left.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\arrow\right.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\arrow\up.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\back.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\backspace.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\block.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\img\ui\calendar.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
